country,n_seasons,variant,model_type,elapsed_s,mae,per_horizon_mae,weighted_horizon_score,peak_timing_error,peak_magnitude_error,sir_residual,positivity_violation,trainable_params
FRA,3.0,from_scratch_tcn,tcn,0.2,41.490413665771484,"[18.94057846069336, 27.88814353942871, 34.807823181152344, 33.0611457824707, 34.01641082763672, 50.04022216796875, 61.07918167114258, 67.5994873046875, 51.5269775390625, 35.94417953491211]",38.2540789604187,3.7567567825317383,57.085044860839844,20.685033401334966,1.6484986543655396,15818.0
FRA,3.0,from_scratch_transformer,transformer,0.2,22.844253540039062,"[17.383251190185547, 22.085771560668945, 25.770587921142578, 27.903491973876953, 27.06705093383789, 23.936634063720703, 23.386388778686523, 22.1440486907959, 20.42638397216797, 18.338916778564453]",23.054414505428735,3.9189188480377197,26.972753524780273,9.829586253742644,0.3896262049674988,70282.0
FRA,5.0,frozen,diffusion,0.0,619.4745483398438,"[227.3203125, 424.8630676269531, 594.63037109375, 705.6447143554688, 765.8689575195312, 789.9349975585938, 776.5685424804688, 726.6910400390625, 636.0307006835938, 547.1924438476562]",590.2847176445855,2.945945978164673,898.9418334960938,113.89138414114875,0.11440279334783554,0.0
FRA,5.0,naive_full_finetune,diffusion,0.3,131.90574645996094,"[76.47819519042969, 134.750244140625, 172.62857055664062, 187.6273651123047, 182.86199951171875, 166.0175323486328, 141.10186767578125, 113.12747955322266, 84.17997741699219, 60.284297943115234]",137.20388270484077,3.675675630569458,239.5752716064453,40.88770141608932,0.003582444041967392,15169.0
FRA,5.0,lora_no_physics,diffusion,0.2,283.0346374511719,"[96.8471908569336, 183.9389190673828, 260.2733459472656, 306.0420227050781, 339.35858154296875, 359.684326171875, 366.1075134277344, 347.5798645019531, 305.10888671875, 265.405517578125]",266.35534172058107,3.5405404567718506,449.544921875,62.00970908575672,0.0037469761446118355,920.0
FRA,5.0,lora_adjoint_matched,diffusion,1.4,26.66986656188965,"[14.245747566223145, 21.685745239257812, 29.679826736450195, 34.05852508544922, 35.37024688720703, 31.46225357055664, 27.61893653869629, 25.380212783813477, 24.176002502441406, 23.021209716796875]",26.382725487815,3.5135135650634766,40.821292877197266,7.553408793680281,0.01654534786939621,920.0
FRA,5.0,from_scratch,diffusion,0.3,2821.814453125,"[1632.1739501953125, 2610.06005859375, 3345.73095703125, 3740.023193359375, 3860.421875, 3723.869873046875, 3341.36962890625, 2735.283935546875, 1927.5958251953125, 1301.6142578125]",2889.242325846354,3.4054055213928223,4284.18896484375,606.8224449379122,0.0309417974203825,15169.0
FRA,5.0,from_scratch_lstm,lstm,0.6,18.362228393554688,"[12.375833511352539, 14.54128646850586, 16.95453453063965, 18.74355125427246, 19.444072723388672, 19.342634201049805, 19.178340911865234, 19.95673942565918, 21.026077270507812, 22.0592098236084]",17.53579536014133,3.945945978164673,30.362812042236328,6.131327481370072,0.0,100929.0
FRA,5.0,from_scratch_gru,gru,0.5,16.97844886779785,"[9.175210952758789, 11.815652847290039, 14.91296672821045, 17.185009002685547, 18.133665084838867, 18.654878616333008, 18.85761070251465, 19.5793514251709, 20.297271728515625, 21.172870635986328]",15.888330931133694,4.027027130126953,27.878156661987305,6.323923026305421,0.0,75713.0
FRA,5.0,from_scratch_tcn,tcn,0.4,16.578311920166016,"[7.074522495269775, 11.063217163085938, 14.544806480407715, 17.449729919433594, 18.511072158813477, 18.86089515686035, 18.8204345703125, 19.1838321685791, 19.261884689331055, 21.01272964477539]",15.408914653460187,3.351351261138916,27.88922691345215,5.75482422328926,0.0,15818.0
FRA,5.0,from_scratch_transformer,transformer,0.4,18.061790466308594,"[12.42663860321045, 16.84966468811035, 17.010128021240234, 19.98858070373535, 21.450634002685547, 19.52267837524414, 18.043804168701172, 17.996421813964844, 18.48403549194336, 18.845340728759766]",17.69302544593811,3.378378391265869,25.827999114990234,6.9815239028404426,0.03613480180501938,70282.0
FRA,10.0,frozen,diffusion,0.0,765.1756591796875,"[346.42291259765625, 640.072509765625, 864.0242919921875, 967.1848754882812, 978.7348022460938, 942.3388061523438, 878.8780517578125, 790.8215942382812, 672.075927734375, 571.2032470703125]",756.3994964599609,3.1081080436706543,1088.563720703125,136.0894472279393,0.058102577924728394,0.0
FRA,10.0,naive_full_finetune,diffusion,0.6,22.019947052001953,"[12.07235050201416, 17.206344604492188, 20.316936492919922, 22.30168342590332, 23.597742080688477, 24.657737731933594, 24.779197692871094, 24.861873626708984, 25.833465576171875, 24.5721378326416]",20.886029418309526,2.8378379344940186,30.66285514831543,5.331561752162851,0.3499683141708374,15169.0
FRA,10.0,lora_no_physics,diffusion,0.4,88.1096420288086,"[39.21840286254883, 71.50267791748047, 93.35577392578125, 103.16271209716797, 109.81487274169922, 107.29996490478516, 99.98452758789062, 93.77294158935547, 85.05426788330078, 77.9302978515625]",85.70239637162949,3.7567567825317383,157.12156677246094,23.83606445309995,0.08255734294652939,920.0
FRA,10.0,lora_adjoint_matched,diffusion,2.1,50.915809631347656,"[21.978504180908203, 37.36384582519531, 47.694358825683594, 57.02414321899414, 57.968875885009766, 58.73065185546875, 59.01024627685547, 59.51814651489258, 55.56331253051758, 54.3060188293457]",48.22590527004666,3.0810811519622803,75.60962677001953,12.121276176297762,0.027737999334931374,920.0
FRA,10.0,from_scratch,diffusion,0.5,1826.9710693359375,"[820.0927734375, 1269.4189453125, 1728.410888671875, 2049.5791015625, 2224.53564453125, 2280.064453125, 2254.319580078125, 2149.366455078125, 1906.81884765625, 1587.10498046875]",1748.4187377929688,3.2432432174682617,2802.1083984375,364.0429768212433,0.0756053701043129,15169.0
FRA,10.0,from_scratch_lstm,lstm,0.8,19.070926666259766,"[12.620589256286621, 15.017078399658203, 17.665918350219727, 19.545454025268555, 20.27004623413086, 19.739971160888672, 19.706684112548828, 20.712018966674805, 22.024044036865234, 23.407461166381836]",18.174733654658,3.5405404567718506,27.084985733032227,7.14366538997169,0.0,100929.0
FRA,10.0,from_scratch_gru,gru,0.8,16.676347732543945,"[7.477260112762451, 10.397302627563477, 14.0433988571167, 16.90167808532715, 18.26790428161621, 19.101314544677734, 19.19489097595215, 19.634078979492188, 20.311017990112305, 21.434614181518555]",15.394798043039112,3.702702760696411,24.24039077758789,6.695637144595832,0.006003663409501314,75713.0
FRA,10.0,from_scratch_tcn,tcn,0.5,17.308834075927734,"[7.292375087738037, 10.052323341369629, 13.926045417785645, 17.282743453979492, 18.748212814331055, 19.956798553466797, 19.332958221435547, 19.92144203186035, 22.044384002685547, 24.531064987182617]",15.773118975427417,3.270270347595215,24.169857025146484,6.151590800150199,0.04317465424537659,15818.0
FRA,10.0,from_scratch_transformer,transformer,0.6,20.428295135498047,"[12.21728515625, 14.446574211120605, 19.019447326660156, 23.685274124145508, 24.420045852661133, 23.410907745361328, 20.96519660949707, 20.78070831298828, 21.281461715698242, 24.05604362487793]",19.572572395536636,3.0,25.60464096069336,7.703495749632518,0.0,70282.0
MEX,1.0,frozen,diffusion,0.0,135.7713623046875,"[30.051864624023438, 51.332942962646484, 71.27949523925781, 86.59378051757812, 102.76589965820312, 128.37225341796875, 166.08285522460938, 210.9525604248047, 245.888916015625, 264.3929748535156]",111.14135036468505,4.150684833526611,315.9283142089844,42.04618656475436,0.013088246807456017,0.0
MEX,1.0,naive_full_finetune,diffusion,0.2,6592.62255859375,"[518.2492065429688, 2190.5439453125, 4731.03515625, 7032.30712890625, 8288.09765625, 8696.8955078125, 9012.5888671875, 9610.83984375, 8919.791015625, 6925.87841796875]",5839.722347344292,3.2876713275909424,13661.408203125,2224.0883378663275,0.0,15169.0
MEX,1.0,lora_no_physics,diffusion,0.2,848.8792724609375,"[96.24364471435547, 191.8231658935547, 313.4000549316406, 481.78076171875, 693.8135986328125, 945.6281127929688, 1220.7008056640625, 1462.930419921875, 1563.02880859375, 1519.443115234375]",678.7489087846545,4.123287677764893,1780.4881591796875,224.4978247948428,0.004136056639254093,920.0
MEX,1.0,lora_adjoint_matched,diffusion,0.8,150.4403839111328,"[38.84199905395508, 71.06684875488281, 104.21969604492188, 137.5465545654297, 158.38063049316406, 171.8842315673828, 178.12937927246094, 196.06710815429688, 215.6795654296875, 232.58795166015625]",131.82655357784694,3.821917772293091,324.3516540527344,46.060954186231626,0.0072342753410339355,920.0
